"treat","codelines","ln_codelines_1","log2_codelines","log2_codelines_1"
0,0,0,NA,0
0,6,1.94591009616852,2.58496260643005,2.80735492706299
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,14,2.70805025100708,3.80735492706299,3.90689063072205
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,5688,8.64628982543945,12.473705291748,12.4739589691162
0,50,3.93182563781738,5.64385604858398,5.67242527008057
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,2098,7.64921617507935,11.0347986221313,11.0354862213135
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,3552,8.17554759979248,11.794415473938,11.7948217391968
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,2237,7.7133378982544,11.1273498535156,11.1279945373535
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,1108,7.01121377944946,10.1137418746948,10.1150436401367
0,0,0,NA,0
0,47,3.8712010383606,5.55458879470825,5.58496236801147
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,863,6.76157283782959,9.75321674346924,9.75488758087158
0,480,6.17586708068848,8.90689086914062,8.90989303588867
0,24,3.21887588500977,4.58496236801147,4.64385604858398
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,12,2.56494927406311,3.58496260643005,3.70043969154358
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,845,6.7405195236206,9.72280788421631,9.72451400756836
0,0,0,NA,0
0,0,0,NA,0
0,193,5.26785802841187,7.59245681762695,7.59991264343262
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,191,5.2574954032898,7.57742881774902,7.58496236801147
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
0,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,338,5.82600021362305,8.40087985992432,8.40514183044434
1,0,0,NA,0
1,0,0,NA,0
1,627,6.44254016876221,9.29232120513916,9.29462051391602
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,321,5.77455139160156,8.32642936706543,8.33091640472412
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,109,4.70048046112061,6.76818418502808,6.78135967254639
1,0,0,NA,0
1,0,0,NA,0
1,329,5.7990927696228,8.3619441986084,8.36632251739502
1,0,0,NA,0
1,0,0,NA,0
1,3,1.3862943649292,1.58496248722076,2
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,18,2.94443893432617,4.16992521286011,4.24792766571045
1,0,0,NA,0
1,3885,8.26513576507568,11.923698425293,11.9240703582764
1,103,4.64439105987549,6.68650054931641,6.70043992996216
1,0,0,NA,0
1,0,0,NA,0
1,1014,6.92264366149902,9.98584175109863,9.9872636795044
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
1,0,0,NA,0
